Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Afghanistan,AFG,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Albania,ALB,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Algeria,DZA,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Angola,AGO,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Antigua and Barbuda,ATG,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Argentina,ARG,2017,14,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Armenia,ARM,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Australia,AUS,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Austria,AUT,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Azerbaijan,AZE,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Bahamas, The",BHS,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bahrain,BHR,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bangladesh,BGD,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Barbados,BRB,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Belarus,BLR,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Belgium,BEL,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Belize,BLZ,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Benin,BEN,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bhutan,BTN,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bolivia,BOL,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bosnia and Herzegovina,BIH,2017,13,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Botswana,BWA,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Brazil,BRA,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Brunei Darussalam,BRN,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Bulgaria,BGR,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Burkina Faso,BFA,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Burundi,BDI,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Cabo Verde,CPV,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Cambodia,KHM,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Cameroon,CMR,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Canada,CAN,2017,2,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Central African Republic,CAF,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Chad,TCD,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Chile,CHL,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,China,CHN,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Colombia,COL,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Comoros,COM,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Congo, Dem. Rep.",COD,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Congo, Rep.",COG,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Costa Rica,CRI,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Cote d'Ivoire,CIV,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Croatia,HRV,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Cyprus,CYP,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Czechia,CZE,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Denmark,DNK,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Djibouti,DJI,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Dominica,DMA,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Dominican Republic,DOM,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Ecuador,ECU,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Egypt, Arab Rep.",EGY,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,El Salvador,SLV,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Equatorial Guinea,GNQ,2017,16,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Eritrea,ERI,2017,13,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Estonia,EST,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Eswatini,SWZ,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Ethiopia,ETH,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Fiji,FJI,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Finland,FIN,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,France,FRA,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Gabon,GAB,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Gambia, The",GMB,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Georgia,GEO,2017,2,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Germany,DEU,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Ghana,GHA,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Greece,GRC,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Grenada,GRD,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Guatemala,GTM,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Guinea,GIN,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Guinea-Bissau,GNB,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Guyana,GUY,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Haiti,HTI,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Honduras,HND,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Hong Kong SAR, China",HKG,2017,2,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Hungary,HUN,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Iceland,ISL,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,India,IND,2017,12.47,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Indonesia,IDN,2017,12.22,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Iran, Islamic Rep.",IRN,2017,11,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Iraq,IRQ,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Ireland,IRL,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Israel,ISR,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Italy,ITA,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Jamaica,JAM,2017,2,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Japan,JPN,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Jordan,JOR,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kazakhstan,KAZ,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kenya,KEN,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kiribati,KIR,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Korea, Rep.",KOR,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kosovo,XKX,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kuwait,KWT,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Kyrgyz Republic,KGZ,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Lao PDR,LAO,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Latvia,LVA,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Lebanon,LBN,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Lesotho,LSO,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Liberia,LBR,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Libya,LBY,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Lithuania,LTU,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Luxembourg,LUX,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Madagascar,MDG,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Malawi,MWI,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Malaysia,MYS,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Maldives,MDV,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mali,MLI,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Malta,MLT,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Marshall Islands,MHL,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mauritania,MRT,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mauritius,MUS,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mexico,MEX,2017,7.83,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"Micronesia, Fed. Sts.",FSM,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Moldova,MDA,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mongolia,MNG,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Montenegro,MNE,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Morocco,MAR,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Mozambique,MOZ,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Myanmar,MMR,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Namibia,NAM,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Nepal,NPL,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Netherlands,NLD,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,New Zealand,NZL,2017,1,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Nicaragua,NIC,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Niger,NER,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Nigeria,NGA,2017,8.46,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,North Macedonia,MKD,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Norway,NOR,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Oman,OMN,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Pakistan,PAK,2017,13,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Palau,PLW,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Panama,PAN,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Papua New Guinea,PNG,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Paraguay,PRY,2017,7,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Peru,PER,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Philippines,PHL,2017,17,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Poland,POL,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Portugal,PRT,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Puerto Rico,PRI,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Qatar,QAT,2017,10,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Romania,ROU,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Russian Federation,RUS,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Rwanda,RWA,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Samoa,WSM,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,San Marino,SMR,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Sao Tome and Principe,STP,2017,6,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Saudi Arabia,SAU,2017,12,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Senegal,SEN,2017,4,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Serbia,SRB,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Seychelles,SYC,2017,9,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Sierra Leone,SLE,2017,5,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Singapore,SGP,2017,3,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Slovak Republic,SVK,2017,8,female
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Slovenia,SVN,2017,2,female
