Country Name,Country Code,"Women, Business, and the Law: Entrepreneurship Indicator Score (scale 1-100) - 2017","Borrowed to start, operate, or expand a farm or business (% age 15+) - 2017",Cost of business start-up procedures (% of GNI per capita) - 2017,"Saved to Start, Operate, or Expand a Farm or Business (% age 15+) - 2017",Start-up procedures to register a business (number) - 2017,Time required to start a business (days) - 2017
Afghanistan,AFG,75,1.37,82.30,1.97,5.00,9.00
Albania,ALB,100,4.08,12.00,5.32,5.00,5.00
Algeria,DZA,75,2.42,12.50,8.38,12.00,18.00
Angola,AGO,100,,17.40,,8.00,36.00
Antigua and Barbuda,ATG,75,,9.10,,9.00,22.00
Argentina,ARG,75,2.86,10.40,6.80,14.00,24.50
Armenia,ARM,75,12.43,0.90,6.29,4.00,5.00
Australia,AUS,100,1.44,0.70,6.23,3.00,2.50
Austria,AUT,100,5.82,5.10,7.47,8.00,21.00
Azerbaijan,AZE,100,3.01,1.60,3.17,3.00,3.50
"Bahamas, The",BHS,75,2.90,13.80,,7.00,21.50
Bahrain,BHR,75,4.53,1.00,12.50,7.00,9.00
Bangladesh,BGD,75,1.75,22.90,6.95,9.00,19.50
Barbados,BRB,75,,7.60,,7.00,16.00
Belarus,BLR,75,,0.60,6.68,5.00,9.00
Belgium,BEL,100,1.01,5.60,3.81,5.00,4.50
Belize,BLZ,75,,34.60,,9.00,48.00
Benin,BEN,75,13.29,3.70,18.06,6.00,9.00
Bhutan,BTN,75,,3.90,,8.00,12.00
Bolivia,BOL,100,12.14,46.60,21.86,12.00,41.00
Bosnia and Herzegovina,BIH,100,3.15,16.10,5.36,13.00,80.00
Botswana,BWA,75,2.86,0.70,7.62,9.00,48.00
Brazil,BRA,75,2.56,4.80,10.02,11.00,82.47
Brunei Darussalam,BRN,75,,1.10,,6.00,13.00
Bulgaria,BGR,100,1.84,1.20,6.92,7.00,23.00
Burkina Faso,BFA,75,12.61,42.60,21.84,3.00,13.00
Burundi,BDI,75,,33.90,,3.00,4.00
Cabo Verde,CPV,100,,15.40,,9.00,18.00
Cambodia,KHM,100,15.33,51.30,17.05,9.00,99.00
Cameroon,CMR,50,11.24,36.00,19.50,7.00,17.00
Canada,CAN,100,1.71,0.40,6.92,2.00,1.50
Central African Republic,CAF,75,9.75,154.70,14.08,10.00,22.00
Chad,TCD,50,10.12,171.30,9.66,9.00,60.00
Chile,CHL,75,2.26,5.90,13.33,8.00,7.50
China,CHN,75,3.90,1.50,12.67,9.00,24.90
Colombia,COL,75,9.88,14.00,12.79,8.00,11.00
Comoros,COM,75,,84.10,,9.00,16.00
"Congo, Dem. Rep.",COD,100,4.42,28.60,15.85,4.00,7.00
"Congo, Rep.",COG,75,6.95,77.70,18.56,11.00,50.00
Costa Rica,CRI,75,5.15,8.60,14.11,9.00,22.50
Cote d'Ivoire,CIV,75,5.07,16.50,18.26,5.00,8.00
Croatia,HRV,100,3.10,7.20,7.62,8.00,22.50
Cyprus,CYP,100,1.46,12.40,6.00,5.00,6.00
Czechia,CZE,100,0.89,1.00,13.69,8.00,24.50
Denmark,DNK,100,1.02,0.20,7.06,5.00,3.50
Djibouti,DJI,100,,58.80,,7.00,14.00
Dominica,DMA,75,,15.50,,5.00,12.00
Dominican Republic,DOM,100,11.06,14.50,16.51,7.00,16.50
Ecuador,ECU,75,4.13,34.00,9.88,11.00,48.50
"Egypt, Arab Rep.",EGY,75,1.58,22.20,2.09,10.00,17.00
El Salvador,SLV,100,6.64,41.40,10.60,9.00,16.50
Equatorial Guinea,GNQ,0,,103.40,,16.00,33.00
Eritrea,ERI,75,,27.00,,13.00,84.00
Estonia,EST,100,2.27,1.20,16.64,3.00,3.50
Eswatini,SWZ,0,,16.40,,12.00,30.00
Ethiopia,ETH,75,11.27,57.80,23.87,12.00,33.00
Fiji,FJI,75,,16.90,,11.00,40.00
Finland,FIN,100,1.37,0.80,3.48,3.00,17.00
France,FRA,100,2.81,0.70,5.41,5.00,3.50
Gabon,GAB,50,10.33,7.20,16.80,8.00,33.00
"Gambia, The",GMB,75,9.74,128.20,18.14,7.00,25.00
Georgia,GEO,75,2.52,2.50,0.30,2.00,2.00
Germany,DEU,100,1.47,6.80,4.39,9.00,8.00
Ghana,GHA,75,12.47,17.50,18.32,8.00,14.00
Greece,GRC,100,1.07,1.60,2.15,4.00,12.50
Grenada,GRD,75,,15.30,,6.00,15.00
Guatemala,GTM,75,7.05,22.90,16.72,9.00,26.50
Guinea,GIN,100,16.07,62.60,17.31,7.00,15.00
Guinea-Bissau,GNB,25,,99.90,,9.00,9.00
Guyana,GUY,100,,9.80,,7.00,18.00
Haiti,HTI,75,14.77,200.20,12.05,12.00,97.00
Honduras,HND,100,7.27,39.70,9.86,11.00,42.00
"Hong Kong SAR, China",HKG,100,0.78,1.10,4.97,2.00,1.50
Hungary,HUN,100,0.87,5.40,6.50,6.00,7.00
Iceland,ISL,100,,1.80,,5.00,11.50
India,IND,75,5.70,15.00,7.33,12.47,29.77
Indonesia,IDN,75,11.48,11.00,15.91,12.22,24.54
"Iran, Islamic Rep.",IRN,75,15.17,1.40,13.37,11.00,73.00
Iraq,IRQ,75,6.68,43.30,5.74,9.00,27.00
Ireland,IRL,100,2.54,0.20,14.00,3.00,11.00
Israel,ISR,100,3.58,3.20,19.39,4.00,11.00
Italy,ITA,100,1.09,14.10,1.05,7.00,11.00
Jamaica,JAM,75,,4.80,,2.00,3.00
Japan,JPN,75,0.78,7.50,9.79,8.00,11.15
Jordan,JOR,75,3.03,24.20,3.87,8.00,13.00
Kazakhstan,KAZ,75,4.51,0.30,8.72,5.00,9.00
Kenya,KEN,75,18.45,26.30,31.42,7.00,23.00
Kiribati,KIR,75,,40.20,,7.00,31.00
"Korea, Rep.",KOR,75,3.36,14.60,32.57,3.00,8.00
Kosovo,XKX,100,4.17,1.00,8.13,3.00,5.50
Kuwait,KWT,75,3.11,1.70,4.76,10.00,39.00
Kyrgyz Republic,KGZ,100,4.10,2.10,6.87,4.00,10.00
Lao PDR,LAO,100,6.41,7.00,12.57,10.00,174.00
Latvia,LVA,100,0.62,1.70,5.57,4.00,5.50
Lebanon,LBN,75,2.35,42.00,5.40,8.00,15.00
Lesotho,LSO,75,3.64,7.70,4.64,7.00,29.00
Liberia,LBR,75,20.66,15.70,33.94,5.00,6.00
Libya,LBY,75,4.90,30.30,16.88,10.00,35.00
Liechtenstein,LIE,,,,,,
Lithuania,LTU,100,7.38,0.60,12.76,4.00,5.50
