Table: Statistics
,,Women_Business_and_the_Law_Entrepreneurship_Indicator_Score,Borrowed_to_start_operate_or_expand_a_farm_or_business_age,Cost_of_business_start_up_procedures_of_GNI_per_capita_201,Saved_to_Start_Operate_or_Expand_a_Farm_or_Business_age_15,Start_up_procedures_to_register_a_business_number_2017,Time_required_to_start_a_business_days_2017
N,Valid,189,145,189,145,189,189
,Missing,3,47,3,47,3,3
Mean,,82.94,5.82,26.58,11.68,7.21,21.62
Std Dev,,16.61,4.78,46.89,6.74,3.09,26.24
Minimum,,0,.05,.00,.30,1.00,.50
Maximum,,100,20.73,352.20,33.94,20.00,230.00

Table: Women_Business_and_the_Law_Entrepreneurship_Indicator_Score
,,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,0,2,1.0%,1.1%,1.1%
,25,1,.5%,.5%,1.6%
,50,6,3.1%,3.2%,4.8%
,75,106,55.2%,56.1%,60.8%
,100,74,38.5%,39.2%,100.0%
Missing,.,3,1.6%,,
Total,,192,100.0%,,

Table: Borrowed_to_start_operate_or_expand_a_farm_or_business_age
,,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,.05,1,.5%,.7%,.7%
,.62,1,.5%,.7%,1.4%
,.68,2,1.0%,1.4%,2.8%
,.78,2,1.0%,1.4%,4.1%
,.80,2,1.0%,1.4%,5.5%
,.86,1,.5%,.7%,6.2%
,.87,1,.5%,.7%,6.9%
,.89,1,.5%,.7%,7.6%
,.90,1,.5%,.7%,8.3%
,.97,1,.5%,.7%,9.0%
,.98,1,.5%,.7%,9.7%
,1.01,1,.5%,.7%,10.3%
,1.02,1,.5%,.7%,11.0%
,1.06,1,.5%,.7%,11.7%
,1.07,1,.5%,.7%,12.4%
,1.09,1,.5%,.7%,13.1%
,1.32,1,.5%,.7%,13.8%
,1.37,2,1.0%,1.4%,15.2%
,1.38,2,1.0%,1.4%,16.6%
,1.44,1,.5%,.7%,17.2%
,1.46,1,.5%,.7%,17.9%
,1.47,1,.5%,.7%,18.6%
,1.55,1,.5%,.7%,19.3%
,1.58,1,.5%,.7%,20.0%
,1.63,1,.5%,.7%,20.7%
,1.65,1,.5%,.7%,21.4%
,1.71,1,.5%,.7%,22.1%
,1.75,1,.5%,.7%,22.8%
,1.84,1,.5%,.7%,23.4%
,2.10,1,.5%,.7%,24.1%
,2.15,1,.5%,.7%,24.8%
,2.16,1,.5%,.7%,25.5%
,2.18,1,.5%,.7%,26.2%
,2.26,1,.5%,.7%,26.9%
,2.27,1,.5%,.7%,27.6%
,2.35,1,.5%,.7%,28.3%
,2.42,1,.5%,.7%,29.0%
,2.52,1,.5%,.7%,29.7%
,2.54,1,.5%,.7%,30.3%
,2.56,1,.5%,.7%,31.0%
,2.81,1,.5%,.7%,31.7%
,2.82,1,.5%,.7%,32.4%
,2.86,3,1.6%,2.1%,34.5%
,2.90,1,.5%,.7%,35.2%
,2.95,1,.5%,.7%,35.9%
,3.01,1,.5%,.7%,36.6%
,3.03,1,.5%,.7%,37.2%
,3.06,1,.5%,.7%,37.9%
,3.10,2,1.0%,1.4%,39.3%
,3.11,1,.5%,.7%,40.0%
,3.15,1,.5%,.7%,40.7%
,3.28,1,.5%,.7%,41.4%
,3.36,1,.5%,.7%,42.1%
,3.52,1,.5%,.7%,42.8%
,3.58,1,.5%,.7%,43.4%
,3.64,1,.5%,.7%,44.1%
,3.66,1,.5%,.7%,44.8%
,3.73,1,.5%,.7%,45.5%
,3.82,1,.5%,.7%,46.2%
,3.90,1,.5%,.7%,46.9%
,3.96,1,.5%,.7%,47.6%
,3.99,1,.5%,.7%,48.3%
,4.06,1,.5%,.7%,49.0%
,4.08,1,.5%,.7%,49.7%
,4.10,1,.5%,.7%,50.3%
,4.13,2,1.0%,1.4%,51.7%
,4.17,1,.5%,.7%,52.4%
,4.22,1,.5%,.7%,53.1%
,4.39,1,.5%,.7%,53.8%
,4.42,1,.5%,.7%,54.5%
,4.51,1,.5%,.7%,55.2%
,4.53,1,.5%,.7%,55.9%
,4.65,1,.5%,.7%,56.6%
,4.73,1,.5%,.7%,57.2%
,4.84,1,.5%,.7%,57.9%
,4.90,1,.5%,.7%,58.6%
,5.07,1,.5%,.7%,59.3%
,5.15,1,.5%,.7%,60.0%
,5.70,1,.5%,.7%,60.7%
,5.82,1,.5%,.7%,61.4%
,6.20,1,.5%,.7%,62.1%
,6.30,1,.5%,.7%,62.8%
,6.35,1,.5%,.7%,63.4%
,6.41,1,.5%,.7%,64.1%
,6.49,1,.5%,.7%,64.8%
,6.62,1,.5%,.7%,65.5%
,6.64,1,.5%,.7%,66.2%
,6.68,1,.5%,.7%,66.9%
,6.77,1,.5%,.7%,67.6%
,6.93,1,.5%,.7%,68.3%
,6.95,1,.5%,.7%,69.0%
,7.02,1,.5%,.7%,69.7%
,7.05,1,.5%,.7%,70.3%
,7.12,1,.5%,.7%,71.0%
,7.27,1,.5%,.7%,71.7%
,7.38,2,1.0%,1.4%,73.1%
,7.70,1,.5%,.7%,73.8%
,8.84,1,.5%,.7%,74.5%
,9.07,1,.5%,.7%,75.2%
,9.44,1,.5%,.7%,75.9%
,9.74,1,.5%,.7%,76.6%
,9.75,1,.5%,.7%,77.2%
,9.88,1,.5%,.7%,77.9%
,10.12,1,.5%,.7%,78.6%
,10.24,1,.5%,.7%,79.3%
,10.33,1,.5%,.7%,80.0%
,10.61,1,.5%,.7%,80.7%
,10.74,1,.5%,.7%,81.4%
,11.06,1,.5%,.7%,82.1%
,11.24,1,.5%,.7%,82.8%
,11.27,1,.5%,.7%,83.4%
,11.48,1,.5%,.7%,84.1%
,11.59,1,.5%,.7%,84.8%
,11.62,1,.5%,.7%,85.5%
,12.14,1,.5%,.7%,86.2%
,12.43,2,1.0%,1.4%,87.6%
,12.47,1,.5%,.7%,88.3%
,12.61,1,.5%,.7%,89.0%
,12.68,1,.5%,.7%,89.7%
,13.05,1,.5%,.7%,90.3%
,13.29,1,.5%,.7%,91.0%
,13.35,1,.5%,.7%,91.7%
,13.40,1,.5%,.7%,92.4%
,13.63,1,.5%,.7%,93.1%
,14.77,1,.5%,.7%,93.8%
,14.96,1,.5%,.7%,94.5%
,15.17,1,.5%,.7%,95.2%
,15.33,1,.5%,.7%,95.9%
,15.96,1,.5%,.7%,96.6%
,16.07,1,.5%,.7%,97.2%
,16.45,1,.5%,.7%,97.9%
,18.45,1,.5%,.7%,98.6%
,20.66,1,.5%,.7%,99.3%
,20.73,1,.5%,.7%,100.0%
Missing,.  ,47,24.5%,,
Total,,192,100.0%,,

Table: Cost_of_business_start_up_procedures_of_GNI_per_capita_201
,,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,.00,2,1.0%,1.1%,1.1%
,.20,3,1.6%,1.6%,2.6%
,.30,2,1.0%,1.1%,3.7%
,.40,2,1.0%,1.1%,4.8%
,.50,3,1.6%,1.6%,6.3%
,.60,2,1.0%,1.1%,7.4%
,.70,3,1.6%,1.6%,9.0%
,.80,4,2.1%,2.1%,11.1%
,.90,2,1.0%,1.1%,12.2%
,1.00,4,2.1%,2.1%,14.3%
,1.10,5,2.6%,2.6%,16.9%
,1.20,2,1.0%,1.1%,18.0%
,1.40,2,1.0%,1.1%,19.0%
,1.50,2,1.0%,1.1%,20.1%
,1.60,2,1.0%,1.1%,21.2%
,1.70,3,1.6%,1.6%,22.8%
,1.80,1,.5%,.5%,23.3%
,2.10,2,1.0%,1.1%,24.3%
,2.30,2,1.0%,1.1%,25.4%
,2.50,1,.5%,.5%,25.9%
,2.90,1,.5%,.5%,26.5%
,3.10,1,.5%,.5%,27.0%
,3.20,2,1.0%,1.1%,28.0%
,3.40,1,.5%,.5%,28.6%
,3.70,1,.5%,.5%,29.1%
,3.90,1,.5%,.5%,29.6%
,4.10,1,.5%,.5%,30.2%
,4.40,1,.5%,.5%,30.7%
,4.60,1,.5%,.5%,31.2%
,4.70,1,.5%,.5%,31.7%
,4.80,2,1.0%,1.1%,32.8%
,5.10,1,.5%,.5%,33.3%
,5.40,1,.5%,.5%,33.9%
,5.60,2,1.0%,1.1%,34.9%
,5.90,1,.5%,.5%,35.4%
,6.20,1,.5%,.5%,36.0%
,6.30,1,.5%,.5%,36.5%
,6.50,2,1.0%,1.1%,37.6%
,6.80,2,1.0%,1.1%,38.6%
,7.00,1,.5%,.5%,39.2%
,7.10,1,.5%,.5%,39.7%
,7.20,3,1.6%,1.6%,41.3%
,7.30,1,.5%,.5%,41.8%
,7.40,1,.5%,.5%,42.3%
,7.50,2,1.0%,1.1%,43.4%
,7.60,1,.5%,.5%,43.9%
,7.70,1,.5%,.5%,44.4%
,7.90,2,1.0%,1.1%,45.5%
,8.00,1,.5%,.5%,46.0%
,8.30,1,.5%,.5%,46.6%
,8.60,1,.5%,.5%,47.1%
,9.10,2,1.0%,1.1%,48.1%
,9.80,1,.5%,.5%,48.7%
,10.30,1,.5%,.5%,49.2%
,10.40,2,1.0%,1.1%,50.3%
,11.00,1,.5%,.5%,50.8%
,11.40,1,.5%,.5%,51.3%
,11.90,1,.5%,.5%,51.9%
,12.00,2,1.0%,1.1%,52.9%
,12.40,1,.5%,.5%,53.4%
,12.50,1,.5%,.5%,54.0%
,12.70,1,.5%,.5%,54.5%
,13.20,2,1.0%,1.1%,55.6%
,13.40,1,.5%,.5%,56.1%
,13.80,1,.5%,.5%,56.6%
,14.00,1,.5%,.5%,57.1%
,14.10,1,.5%,.5%,57.7%
,14.50,1,.5%,.5%,58.2%
,14.60,1,.5%,.5%,58.7%
,15.00,1,.5%,.5%,59.3%
,15.30,1,.5%,.5%,59.8%
,15.40,1,.5%,.5%,60.3%
,15.50,1,.5%,.5%,60.8%
,15.70,1,.5%,.5%,61.4%
,15.80,1,.5%,.5%,61.9%
,15.90,1,.5%,.5%,62.4%
,16.10,1,.5%,.5%,63.0%
,16.40,1,.5%,.5%,63.5%
,16.50,1,.5%,.5%,64.0%
