"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Arab World","ARB","2017","2.000","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Arab World","ARB","2014","2.730","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","East Asia & Pacific","EAS","2017","5.600","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","East Asia & Pacific","EAS","2014","6.860","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","East Asia & Pacific (excluding high income)","EAP","2017","6.160","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","East Asia & Pacific (excluding high income)","EAP","2014","7.620","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Euro area","EMU","2017","2.000","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Euro area","EMU","2014","1.770","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Europe & Central Asia","ECS","2017","2.410","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Europe & Central Asia","ECS","2014","1.630","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Europe & Central Asia (excluding high income)","ECA","2017","3.020","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Europe & Central Asia (excluding high income)","ECA","2014","1.470","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","High income","HIC","2017","2.110","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","High income","HIC","2014","1.500","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Latin America & Caribbean","LCN","2017","4.780","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Latin America & Caribbean","LCN","2014","4.440","female"
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","fin21.t.d.2017.1","Latin America & Caribbean (excluding high income)","LAC","2017","4.880","female"
