"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Arab World","ARB","2017","3.900","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Arab World","ARB","2014","4.570","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","East Asia & Pacific","EAS","2017","14.340","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","East Asia & Pacific","EAS","2014","16.560","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","East Asia & Pacific (excluding high income)","EAP","2017","14.410","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","East Asia & Pacific (excluding high income)","EAP","2014","17.480","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Euro area","EMU","2017","6.140","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Euro area","EMU","2014","4.840","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Europe & Central Asia","ECS","2017","6.760","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Europe & Central Asia","ECS","2014","3.980","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Europe & Central Asia (excluding high income)","ECA","2017","6.850","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Europe & Central Asia (excluding high income)","ECA","2014","2.670","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","High income","HIC","2017","9.810","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","High income","HIC","2014","6.480","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Latin America & Caribbean","LCN","2017","10.440","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Latin America & Caribbean","LCN","2014","7.950","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Latin America & Caribbean (excluding high income)","LAC","2017","10.350","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Latin America & Caribbean (excluding high income)","LAC","2014","8.120","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Low & middle income","LMY","2017","11.400","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Low & middle income","LMY","2014","11.340","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Low income","LIC","2017","17.730","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Low income","LIC","2014","13.860","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Lower middle income","LMC","2017","10.540","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Lower middle income","LMC","2014","9.120","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Middle East & North Africa","MEA","2017","5.660","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Middle East & North Africa (excluding high income)","MNA","2017","5.010","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Middle income","MIC","2017","11.020","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Middle income","MIC","2014","11.180","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","North America","NAC","2017","10.910","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","North America","NAC","2014","6.480","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","OECD members","OED","2017","9.850","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","OECD members","OED","2014","6.290","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","South Asia","SAS","2017","6.940","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","South Asia","SAS","2014","3.620","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Sub-Saharan Africa","SSF","2017","20.280","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Sub-Saharan Africa","SSF","2014","19.760","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Sub-Saharan Africa (excluding high income)","SSA","2017","20.280","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Sub-Saharan Africa (excluding high income)","SSA","2014","19.760","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Upper middle income","UMC","2017","11.550","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Upper middle income","UMC","2014","13.230","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","World","WLD","2017","11.110","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","World","WLD","2014","10.420","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Afghanistan","AFG","2017","1.970","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Afghanistan","AFG","2014","0.700","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Albania","ALB","2017","5.320","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Albania","ALB","2014","5.830","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Algeria","DZA","2017","8.380","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Algeria","DZA","2014","6.230","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Angola","AGO","2014","9.320","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Argentina","ARG","2017","6.800","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Argentina","ARG","2014","3.770","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Armenia","ARM","2017","6.290","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Armenia","ARM","2014","1.420","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Australia","AUS","2017","6.230","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Australia","AUS","2014","5.610","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Austria","AUT","2017","7.470","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Austria","AUT","2014","9.600","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Azerbaijan","AZE","2017","3.170","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Azerbaijan","AZE","2014","3.260","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bahrain","BHR","2017","12.500","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bahrain","BHR","2014","18.310","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bangladesh","BGD","2017","6.950","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bangladesh","BGD","2014","2.400","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Belarus","BLR","2017","6.680","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Belarus","BLR","2014","2.120","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Belgium","BEL","2017","3.810","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Belgium","BEL","2014","3.800","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Belize","BLZ","2014","14.810","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Benin","BEN","2017","18.060","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Benin","BEN","2014","15.820","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bhutan","BTN","2014","10.050","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bolivia","BOL","2017","21.860","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bolivia","BOL","2014","22.280","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bosnia and Herzegovina","BIH","2017","5.360","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bosnia and Herzegovina","BIH","2014","1.910","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Botswana","BWA","2017","7.620","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Botswana","BWA","2014","14.530","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Brazil","BRA","2017","10.020","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Brazil","BRA","2014","4.630","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bulgaria","BGR","2017","6.920","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Bulgaria","BGR","2014","3.470","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Burkina Faso","BFA","2017","21.840","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Burkina Faso","BFA","2014","14.850","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Burundi","BDI","2014","4.830","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Cambodia","KHM","2017","17.050","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Cambodia","KHM","2014","23.150","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Cameroon","CMR","2017","19.500","female"
"Saved to start, operate, or expand a farm or business, female (% age 15+)","fin15.t.d.2017.1","Cameroon","CMR","2014","15.990","female"
